id;rac_code;rag_code;rga_code;agd_delai;agd_attente;agd_comm
1;Chips;navigating;Som Rustic Frozen Keyboard ROI;23978;54922;microchip
2;Response invoice;alarm Jamaica;system Gorgeous Rubber Pants;15864;75784;Garden
3;Small;Incredible Fresh Chips;Shoes Music connect;80691;47347;Shoes systems
4;Generic Frozen Tuna HTTP;implement;Optimization Cambridgeshire;53937;65869;Soap Tasty Metal Sausages Outdoors
5;invoice multi-byte;incubate deposit Station;parsing Investment Account;82042;96119;Dynamic black
6;yellow;Books Generic;robust withdrawal generate;68161;2327;open-source hybrid
7;Solomon Islands Dollar;Personal Loan Account HTTP;schemas Specialist China;42347;75061;multi-byte Producer
8;Cotton Robust;user-centric Infrastructure;Managed Dobra application;23823;10312;Global Berkshire
9;monetize superstructure Fantastic;Industrial;bypassing granular Usability;67676;95060;Missouri deposit
10;Gorgeous Money Market Account;Danish Krone parse;neural Wooden Optimization;97424;5755;Austria mindshare EXE
