id;aud_id;aud_utilisateur;aud_description;aud_datetime
1;35091;Frozen Metal program;SDD bypassing;2019-09-11
2;70096;Fantastic Fresh Salad;Steel Avon Visionary;2019-09-10
3;37427;transition open-source Interactions;Pennsylvania dynamic bandwidth;2019-09-11
4;77714;Oklahoma communities;array supply-chains Advanced;2019-09-11
5;46866;Handmade Wooden Cheese Fresh;input Naira;2019-09-11
6;96217;grow asymmetric;Cyprus web services auxiliary;2019-09-10
7;96987;Incredible Fresh Car Tuvalu;Senior Optional Yemeni Rial;2019-09-11
8;52309;Savings Account;heuristic Orchestrator Naira;2019-09-11
9;90115;Unbranded Plastic Chips Brand Regional;Generic B2B;2019-09-11
10;18812;Junctions one-to-one;analyzing holistic;2019-09-11
